attendance_id,employee_id,attendance_date,status,overtime_hours
64,1256,2026-07-10,Leave,0.0
65,1256,2026-07-09,Present,0.0
66,1256,2026-07-08,Work From Home,3.0
67,1256,2026-07-07,Present,0.0
68,1256,2026-07-06,Present,2.0
69,1256,2026-07-03,Work From Home,3.0
70,1256,2026-07-02,Absent,0.0
71,1256,2026-07-01,Present,0.0
72,1256,2026-06-30,Present,2.0
73,1256,2026-06-29,Leave,1.0
74,1256,2026-06-26,Present,1.5
75,1256,2026-06-25,Leave,2.0
76,1256,2026-06-24,Present,0.0
77,1256,2026-06-23,Leave,0.0
78,1256,2026-06-22,Present,1.0
79,1256,2026-06-19,Leave,2.0
80,1256,2026-06-18,Work From Home,0.0
81,1256,2026-06-17,Leave,2.0
82,1256,2026-06-16,Present,0.0
83,1256,2026-06-15,Present,1.0
84,1256,2026-06-12,Present,1.5
85,1258,2026-07-10,Present,1.0
86,1258,2026-07-09,Present,0.0
87,1258,2026-07-08,Present,2.0
88,1258,2026-07-07,Present,1.5
89,1258,2026-07-06,Present,1.0
90,1258,2026-07-03,Present,1.5
91,1258,2026-07-02,Present,2.0
92,1258,2026-07-01,Present,0.0
93,1258,2026-06-30,Work From Home,1.0
94,1258,2026-06-29,Work From Home,0.0
95,1258,2026-06-26,Work From Home,0.0
96,1258,2026-06-25,Present,2.0
97,1258,2026-06-24,Absent,2.0
98,1258,2026-06-23,Present,3.0
99,1258,2026-06-22,Present,1.0
100,1258,2026-06-19,Present,2.0
101,1258,2026-06-18,Present,2.0
102,1258,2026-06-17,Present,3.0
103,1258,2026-06-16,Present,3.0
104,1258,2026-06-15,Present,1.0
105,1258,2026-06-12,Work From Home,0.0
106,1345,2026-07-10,Present,0.0
107,1345,2026-07-09,Present,1.5
108,1345,2026-07-08,Present,3.0
109,1345,2026-07-07,Present,1.5
110,1345,2026-07-06,Present,1.0
111,1345,2026-07-03,Absent,2.0
112,1345,2026-07-02,Work From Home,2.0
113,1345,2026-07-01,Present,1.5
114,1345,2026-06-30,Absent,0.0
115,1345,2026-06-29,Leave,2.0
116,1345,2026-06-26,Present,2.0
117,1345,2026-06-25,Present,2.0
118,1345,2026-06-24,Present,0.0
119,1345,2026-06-23,Present,3.0
120,1345,2026-06-22,Present,1.5
121,1345,2026-06-19,Absent,0.0
122,1345,2026-06-18,Present,0.0
123,1345,2026-06-17,Leave,1.5
124,1345,2026-06-16,Present,0.0
125,1345,2026-06-15,Present,3.0
126,1345,2026-06-12,Leave,0.0
127,1375,2026-07-10,Leave,0.0
128,1375,2026-07-09,Work From Home,0.0
129,1375,2026-07-08,Present,0.0
130,1375,2026-07-07,Absent,3.0
131,1375,2026-07-06,Leave,2.0
132,1375,2026-07-03,Present,0.0
133,1375,2026-07-02,Present,2.0
134,1375,2026-07-01,Present,1.5
135,1375,2026-06-30,Work From Home,0.0
136,1375,2026-06-29,Present,2.0
137,1375,2026-06-26,Work From Home,3.0
138,1375,2026-06-25,Work From Home,1.5
139,1375,2026-06-24,Present,0.0
140,1375,2026-06-23,Present,1.5
141,1375,2026-06-22,Present,0.0
142,1375,2026-06-19,Present,1.0
143,1375,2026-06-18,Present,1.0
144,1375,2026-06-17,Present,1.0
145,1375,2026-06-16,Leave,1.5
146,1375,2026-06-15,Work From Home,3.0
147,1375,2026-06-12,Present,0.0
148,1236,2026-07-10,Present,0.0
149,1236,2026-07-09,Leave,1.0
150,1236,2026-07-08,Present,3.0
151,1236,2026-07-07,Present,3.0
152,1236,2026-07-06,Present,0.0
153,1236,2026-07-03,Present,0.0
154,1236,2026-07-02,Present,1.0
155,1236,2026-07-01,Present,2.0
156,1236,2026-06-30,Present,0.0
157,1236,2026-06-29,Present,1.5
158,1236,2026-06-26,Present,2.0
159,1236,2026-06-25,Leave,3.0
160,1236,2026-06-24,Present,1.0
161,1236,2026-06-23,Present,0.0
162,1236,2026-06-22,Present,0.0
163,1236,2026-06-19,Present,2.0
164,1236,2026-06-18,Present,0.0
165,1236,2026-06-17,Present,0.0
166,1236,2026-06-16,Present,2.0
167,1236,2026-06-15,Present,0.0
168,1236,2026-06-12,Present,1.0
169,1568,2026-07-10,Present,3.0
170,1568,2026-07-09,Present,3.0
171,1568,2026-07-08,Work From Home,0.0
172,1568,2026-07-07,Present,1.5
173,1568,2026-07-06,Present,1.0
174,1568,2026-07-03,Present,1.0
175,1568,2026-07-02,Present,1.0
176,1568,2026-07-01,Work From Home,1.5
177,1568,2026-06-30,Leave,2.0
178,1568,2026-06-29,Present,1.0
179,1568,2026-06-26,Present,1.5
180,1568,2026-06-25,Absent,1.5
181,1568,2026-06-24,P,0.0
182,1568,2026-06-23,Present,0.0
183,1568,2026-06-22,Present,3.0
184,1568,2026-06-19,Present,1.0
185,1568,2026-06-18,Present,2.0
186,1568,2026-06-17,Leave,0.0
187,1568,2026-06-16,Present,3.0
188,1568,2026-06-15,Present,0.0
189,1568,2026-06-12,Present,0.0
190,1754,2026-07-10,Present,3.0
191,1754,2026-07-09,Present,1.5
192,1754,2026-07-08,Present,0.0
193,1754,2026-07-07,Absent,0.0
194,1754,2026-07-06,Present,1.0
195,1754,2026-07-03,Present,0.0
196,1754,2026-07-02,Absent,2.0
197,1754,2026-07-01,Present,1.0
198,1754,2026-06-30,Work From Home,0.0
199,1754,2026-06-29,Present,0.0
200,1754,2026-06-26,Present,0.0
201,1754,2026-06-25,Present,0.0
202,1754,2026-06-24,Leave,1.0
203,1754,2026-06-23,Absent,1.0
204,1754,2026-06-22,Work From Home,2.0
205,1754,2026-06-19,Present,2.0
206,1754,2026-06-18,Present,3.0
207,1754,2026-06-17,Present,1.5
208,1754,2026-06-16,Absent,3.0
209,1754,2026-06-15,Present,2.0
210,1754,2026-06-12,P,3.0
211,1540,2026-07-10,Present,0.0
212,1540,2026-07-09,Present,0.0
213,1540,2026-07-08,Present,3.0
214,1540,2026-07-07,Present,1.5
215,1540,2026-07-06,Present,1.0
216,1540,2026-07-03,Present,3.0
217,1540,2026-07-02,Work From Home,0.0
218,1540,2026-07-01,Leave,1.0
219,1540,2026-06-30,Present,1.5
220,1540,2026-06-29,Work From Home,2.0
221,1540,2026-06-26,Present,0.0
222,1540,2026-06-25,Present,1.5
223,1540,2026-06-24,Present,0.0
224,1540,2026-06-23,Leave,0.0
225,1540,2026-06-22,Present,2.0
226,1540,2026-06-19,Present,0.0
227,1540,2026-06-18,Work From Home,1.0
228,1540,2026-06-17,Present,0.0
229,1540,2026-06-16,Present,1.5
230,1540,2026-06-15,Present,0.0
231,1540,2026-06-12,Work From Home,0.0
232,1192,2026-07-10,Present,1.5
233,1192,2026-07-09,Present,1.0
234,1192,2026-07-08,Present,1.0
235,1192,2026-07-07,Present,0.0
236,1192,2026-07-06,Present,3.0
237,1192,2026-07-03,Absent,1.5
238,1192,2026-07-02,Present,0.0
239,1192,2026-07-01,Present,3.0
240,1192,2026-06-30,Present,0.0
241,1192,2026-06-29,Present,0.0
242,1192,2026-06-26,P,2.0
243,1192,2026-06-25,Present,3.0
244,1192,2026-06-24,Present,3.0
245,1192,2026-06-23,Present,1.5
246,1192,2026-06-22,Absent,0.0
247,1192,2026-06-19,Present,1.0
248,1192,2026-06-18,Absent,1.5
249,1192,2026-06-17,Present,1.5
250,1192,2026-06-16,Present,1.0
251,1192,2026-06-15,Absent,3.0
252,1192,2026-06-12,Present,0.0
253,1524,2026-07-10,Present,3.0
254,1524,2026-07-09,Present,0.0
255,1524,2026-07-08,Present,0.0
256,1524,2026-07-07,Present,1.5
257,1524,2026-07-06,Present,1.5
258,1524,2026-07-03,Absent,1.5
259,1524,2026-07-02,Present,3.0
260,1524,2026-07-01,Present,0.0
261,1524,2026-06-30,Present,3.0
262,1524,2026-06-29,Present,0.0
263,1524,2026-06-26,Present,2.0
264,1524,2026-06-25,Work From Home,0.0
265,1524,2026-06-24,Present,0.0
266,1524,2026-06-23,Work From Home,0.0
267,1524,2026-06-22,Present,3.0
268,1524,2026-06-19,Present,2.0
269,1524,2026-06-18,Present,1.0
270,1524,2026-06-17,Present,1.5
271,1524,2026-06-16,Work From Home,0.0
272,1524,2026-06-15,Present,0.0
273,1524,2026-06-12,Present,3.0
274,1484,2026-07-10,Work From Home,3.0
275,1484,2026-07-09,Present,3.0
276,1484,2026-07-08,Present,0.0
277,1484,2026-07-07,Absent,1.0
278,1484,2026-07-06,Present,0.0
279,1484,2026-07-03,Present,1.0
280,1484,2026-07-02,Present,1.0
281,1484,2026-07-01,Present,1.5
282,1484,2026-06-30,Present,0.0
283,1484,2026-06-29,P,0.0
284,1484,2026-06-26,Present,0.0
285,1484,2026-06-25,Leave,0.0
286,1484,2026-06-24,Present,0.0
287,1484,2026-06-23,Work From Home,1.0
288,1484,2026-06-22,Present,3.0
289,1484,2026-06-19,Present,0.0
290,1484,2026-06-18,Present,2.0
291,1484,2026-06-17,Work From Home,1.0
292,1484,2026-06-16,Present,0.0
293,1484,2026-06-15,Leave,0.0
294,1484,2026-06-12,Present,0.0
295,1163,2026-07-10,Work From Home,2.0
296,1163,2026-07-09,Present,1.0
297,1163,2026-07-08,Leave,0.0
298,1163,2026-07-07,Present,1.5
299,1163,2026-07-06,Present,0.0
300,1163,2026-07-03,Present,0.0
301,1163,2026-07-02,Present,2.0
302,1163,2026-07-01,Absent,0.0
303,1163,2026-06-30,Present,0.0
304,1163,2026-06-29,Present,1.5
305,1163,2026-06-26,Present,3.0
306,1163,2026-06-25,Present,0.0
307,1163,2026-06-24,Present,0.0
308,1163,2026-06-23,Present,1.0
309,1163,2026-06-22,Present,1.5
310,1163,2026-06-19,Present,3.0
311,1163,2026-06-18,Present,1.5
312,1163,2026-06-17,Absent,2.0
313,1163,2026-06-16,Present,2.0
314,1163,2026-06-15,Present,1.0
315,1163,2026-06-12,Present,0.0
316,1008,2026-07-10,Leave,0.0
317,1008,2026-07-09,Present,0.0
318,1008,2026-07-08,Present,3.0
319,1008,2026-07-07,Present,1.0
320,1008,2026-07-06,Present,0.0
321,1008,2026-07-03,Present,1.0
322,1008,2026-07-02,Present,0.0
323,1008,2026-07-01,Present,1.0
324,1008,2026-06-30,Leave,0.0
325,1008,2026-06-29,Present,0.0
326,1008,2026-06-26,Present,0.0
327,1008,2026-06-25,Present,0.0
328,1008,2026-06-24,Present,0.0
329,1008,2026-06-23,Present,1.0
330,1008,2026-06-22,Present,0.0
331,1008,2026-06-19,Present,0.0
332,1008,2026-06-18,Work From Home,2.0
333,1008,2026-06-17,Work From Home,0.0
334,1008,2026-06-16,P,0.0
335,1008,2026-06-15,Present,0.0
336,1008,2026-06-12,P,1.0
337,1269,2026-07-10,Leave,3.0
338,1269,2026-07-09,Present,3.0
339,1269,2026-07-08,Absent,0.0
340,1269,2026-07-07,Present,0.0
341,1269,2026-07-06,Present,1.5
342,1269,2026-07-03,Present,0.0
343,1269,2026-07-02,Work From Home,1.0
344,1269,2026-07-01,Present,1.0
345,1269,2026-06-30,Present,3.0
346,1269,2026-06-29,Present,0.0
347,1269,2026-06-26,Present,2.0
348,1269,2026-06-25,Present,3.0
349,1269,2026-06-24,Present,0.0
350,1269,2026-06-23,Present,0.0
351,1269,2026-06-22,Present,3.0
352,1269,2026-06-19,Present,0.0
353,1269,2026-06-18,Present,0.0
354,1269,2026-06-17,Present,0.0
355,1269,2026-06-16,Present,2.0
356,1269,2026-06-15,Present,0.0
357,1269,2026-06-12,P,2.0
358,1452,2026-07-10,Present,0.0
359,1452,2026-07-09,Present,0.0
360,1452,2026-07-08,Present,0.0
361,1452,2026-07-07,Present,0.0
362,1452,2026-07-06,Present,0.0
363,1452,2026-07-03,P,0.0
364,1452,2026-07-02,Absent,1.0
365,1452,2026-07-01,Present,0.0
366,1452,2026-06-30,Present,0.0
367,1452,2026-06-29,Present,3.0
368,1452,2026-06-26,Present,2.0
369,1452,2026-06-25,Absent,0.0
370,1452,2026-06-24,Present,1.5
371,1452,2026-06-23,Present,1.0
372,1452,2026-06-22,Present,0.0
373,1452,2026-06-19,Present,2.0
374,1452,2026-06-18,Present,3.0
375,1452,2026-06-17,Present,2.0
376,1452,2026-06-16,Present,3.0
377,1452,2026-06-15,Present,1.5
378,1452,2026-06-12,Present,2.0
379,1407,2026-07-10,Present,0.0
380,1407,2026-07-09,Work From Home,2.0
381,1407,2026-07-08,Present,2.0
382,1407,2026-07-07,Absent,0.0
383,1407,2026-07-06,Present,3.0
384,1407,2026-07-03,Present,3.0
385,1407,2026-07-02,Present,1.5
386,1407,2026-07-01,Present,1.0
387,1407,2026-06-30,Present,1.0
388,1407,2026-06-29,Leave,1.0
389,1407,2026-06-26,Present,1.0
390,1407,2026-06-25,Present,0.0
391,1407,2026-06-24,Present,3.0
392,1407,2026-06-23,Present,3.0
393,1407,2026-06-22,Present,2.0
394,1407,2026-06-19,A,1.0
395,1407,2026-06-18,Present,2.0
396,1407,2026-06-17,Present,3.0
397,1407,2026-06-16,Present,1.5
398,1407,2026-06-15,Present,3.0
399,1407,2026-06-12,Present,0.0
400,1485,2026-07-10,Present,0.0
401,1485,2026-07-09,Present,0.0
402,1485,2026-07-08,Present,3.0
403,1485,2026-07-07,Absent,1.5
404,1485,2026-07-06,Present,3.0
405,1485,2026-07-03,Present,2.0
406,1485,2026-07-02,P,1.5
407,1485,2026-07-01,Present,0.0
408,1485,2026-06-30,Present,2.0
409,1485,2026-06-29,Present,1.0
410,1485,2026-06-26,P,1.0
411,1485,2026-06-25,Present,1.5
412,1485,2026-06-24,Present,1.5
413,1485,2026-06-23,Present,3.0
414,1485,2026-06-22,Present,0.0
415,1485,2026-06-19,Present,2.0
416,1485,2026-06-18,Absent,2.0
417,1485,2026-06-17,Present,1.5
418,1485,2026-06-16,Absent,0.0
419,1485,2026-06-15,Present,0.0
420,1485,2026-06-12,Present,3.0
421,1446,2026-07-10,Present,1.0
422,1446,2026-07-09,Present,1.5
423,1446,2026-07-08,P,0.0
424,1446,2026-07-07,Present,0.0
425,1446,2026-07-06,Present,0.0
426,1446,2026-07-03,Leave,1.5
427,1446,2026-07-02,Present,2.0
428,1446,2026-07-01,Present,0.0
429,1446,2026-06-30,Present,1.5
430,1446,2026-06-29,Present,0.0
431,1446,2026-06-26,Present,1.5
432,1446,2026-06-25,Present,0.0
433,1446,2026-06-24,Present,0.0
434,1446,2026-06-23,Present,1.5
435,1446,2026-06-22,Present,1.5
436,1446,2026-06-19,Present,0.0
437,1446,2026-06-18,Present,0.0
438,1446,2026-06-17,Present,1.5
439,1446,2026-06-16,Present,1.0
440,1446,2026-06-15,Present,2.0
441,1446,2026-06-12,Present,0.0
442,1389,2026-07-10,Present,0.0
443,1389,2026-07-09,Present,0.0
444,1389,2026-07-08,Present,1.5
445,1389,2026-07-07,Work From Home,1.5
446,1389,2026-07-06,Present,0.0
447,1389,2026-07-03,Present,1.5
448,1389,2026-07-02,Present,0.0
449,1389,2026-07-01,Present,0.0
450,1389,2026-06-30,Absent,0.0
451,1389,2026-06-29,Present,1.0
452,1389,2026-06-26,Present,3.0
453,1389,2026-06-25,Present,2.0
454,1389,2026-06-24,Present,0.0
455,1389,2026-06-23,Absent,0.0
456,1389,2026-06-22,Present,2.0
457,1389,2026-06-19,Present,3.0
458,1389,2026-06-18,Leave,0.0
459,1389,2026-06-17,Present,0.0
460,1389,2026-06-16,Present,0.0
461,1389,2026-06-15,Present,0.0
462,1389,2026-06-12,Present,0.0
463,1388,2026-07-10,Present,1.0
464,1388,2026-07-09,Present,1.5
465,1388,2026-07-08,Present,1.0
466,1388,2026-07-07,Present,1.0
467,1388,2026-07-06,Present,0.0
468,1388,2026-07-03,Leave,0.0
469,1388,2026-07-02,Present,1.0
470,1388,2026-07-01,Leave,0.0
471,1388,2026-06-30,Absent,0.0
472,1388,2026-06-29,Present,0.0
473,1388,2026-06-26,Present,2.0
474,1388,2026-06-25,Work From Home,0.0
475,1388,2026-06-24,Present,0.0
476,1388,2026-06-23,Present,3.0
477,1388,2026-06-22,Present,1.5
478,1388,2026-06-19,Present,1.5
479,1388,2026-06-18,Present,0.0
480,1388,2026-06-17,Present,0.0
481,1388,2026-06-16,Present,1.5
482,1388,2026-06-15,Present,1.5
483,1388,2026-06-12,Present,0.0
484,1726,2026-07-10,Present,1.5
485,1726,2026-07-09,Present,0.0
486,1726,2026-07-08,Present,1.5
487,1726,2026-07-07,Leave,0.0
488,1726,2026-07-06,Present,0.0
489,1726,2026-07-03,Present,2.0
490,1726,2026-07-02,Present,1.0
491,1726,2026-07-01,Present,2.0
492,1726,2026-06-30,Present,3.0
493,1726,2026-06-29,Work From Home,0.0
494,1726,2026-06-26,Present,0.0
495,1726,2026-06-25,Work From Home,0.0
496,1726,2026-06-24,Present,1.5
497,1726,2026-06-23,Present,2.0
498,1726,2026-06-22,Present,1.0
499,1726,2026-06-19,Absent,0.0
500,1726,2026-06-18,Present,1.0
501,1726,2026-06-17,Present,3.0
502,1726,2026-06-16,Work From Home,0.0
503,1726,2026-06-15,Present,3.0
504,1726,2026-06-12,Absent,1.5
505,1046,2026-07-10,Leave,1.5
506,1046,2026-07-09,Work From Home,1.0
507,1046,2026-07-08,Present,2.0
508,1046,2026-07-07,Present,0.0
509,1046,2026-07-06,Work From Home,2.0
510,1046,2026-07-03,Present,0.0
511,1046,2026-07-02,Present,1.0
512,1046,2026-07-01,Present,1.5
513,1046,2026-06-30,Present,0.0
514,1046,2026-06-29,Present,0.0
515,1046,2026-06-26,Present,3.0
516,1046,2026-06-25,Present,1.5
517,1046,2026-06-24,Absent,2.0
518,1046,2026-06-23,Present,0.0
519,1046,2026-06-22,Present,2.0
520,1046,2026-06-19,Present,0.0
521,1046,2026-06-18,Present,0.0
522,1046,2026-06-17,Present,0.0
523,1046,2026-06-16,Present,3.0
524,1046,2026-06-15,Present,2.0
525,1046,2026-06-12,Present,1.5
526,1546,2026-07-10,Present,0.0
527,1546,2026-07-09,Present,2.0
528,1546,2026-07-08,Present,1.5
529,1546,2026-07-07,Present,1.0
530,1546,2026-07-06,Present,3.0
531,1546,2026-07-03,Present,0.0
532,1546,2026-07-02,Present,0.0
533,1546,2026-07-01,Present,2.0
534,1546,2026-06-30,Present,1.5
535,1546,2026-06-29,Work From Home,1.5
536,1546,2026-06-26,Present,0.0
537,1546,2026-06-25,Present,0.0
538,1546,2026-06-24,Present,1.5
539,1546,2026-06-23,Present,1.0
540,1546,2026-06-22,Leave,1.5
541,1546,2026-06-19,Work From Home,0.0
542,1546,2026-06-18,Work From Home,1.5
543,1546,2026-06-17,Present,0.0
544,1546,2026-06-16,Present,1.5
545,1546,2026-06-15,Present,0.0
546,1546,2026-06-12,Present,0.0
547,1132,2026-07-10,Present,3.0
548,1132,2026-07-09,Leave,0.0
549,1132,2026-07-08,Present,2.0
550,1132,2026-07-07,Work From Home,0.0
551,1132,2026-07-06,Leave,0.0
552,1132,2026-07-03,Present,1.0
553,1132,2026-07-02,Absent,3.0
554,1132,2026-07-01,Present,0.0
555,1132,2026-06-30,Present,3.0
556,1132,2026-06-29,Leave,1.5
557,1132,2026-06-26,Present,3.0
558,1132,2026-06-25,Present,0.0
559,1132,2026-06-24,Present,2.0
560,1132,2026-06-23,Present,2.0
561,1132,2026-06-22,Present,1.0
562,1132,2026-06-19,Present,1.0
563,1132,2026-06-18,Present,0.0
564,1132,2026-06-17,Present,3.0
565,1132,2026-06-16,Present,0.0
566,1132,2026-06-15,Present,0.0
567,1132,2026-06-12,Absent,0.0
568,1554,2026-07-10,Present,2.0
569,1554,2026-07-09,Present,3.0
570,1554,2026-07-08,Present,3.0
571,1554,2026-07-07,Absent,3.0
572,1554,2026-07-06,Present,0.0
573,1554,2026-07-03,Absent,0.0
574,1554,2026-07-02,Present,0.0
575,1554,2026-07-01,Present,1.5
576,1554,2026-06-30,Present,1.0
577,1554,2026-06-29,Present,2.0
578,1554,2026-06-26,Present,0.0
579,1554,2026-06-25,Present,2.0
580,1554,2026-06-24,Present,3.0
581,1554,2026-06-23,Work From Home,1.0
582,1554,2026-06-22,Present,2.0
583,1554,2026-06-19,Present,1.5
584,1554,2026-06-18,Present,1.0
585,1554,2026-06-17,Leave,0.0
586,1554,2026-06-16,Present,0.0
587,1554,2026-06-15,Present,3.0
588,1554,2026-06-12,Present,1.5
589,1560,2026-07-10,Present,2.0
590,1560,2026-07-09,Present,0.0
591,1560,2026-07-08,Present,0.0
592,1560,2026-07-07,Present,2.0
593,1560,2026-07-06,P,3.0
594,1560,2026-07-03,Work From Home,0.0
595,1560,2026-07-02,Present,3.0
596,1560,2026-07-01,Work From Home,2.0
597,1560,2026-06-30,Present,1.0
598,1560,2026-06-29,Present,1.0
599,1560,2026-06-26,Present,1.0
600,1560,2026-06-25,Present,3.0
601,1560,2026-06-24,Present,0.0
602,1560,2026-06-23,Present,1.5
603,1560,2026-06-22,Present,2.0
604,1560,2026-06-19,Present,1.5
605,1560,2026-06-18,Present,2.0
606,1560,2026-06-17,Present,0.0
607,1560,2026-06-16,P,0.0
608,1560,2026-06-15,Present,2.0
609,1560,2026-06-12,Present,0.0
610,1508,2026-07-10,Present,0.0
611,1508,2026-07-09,Present,3.0
612,1508,2026-07-08,Absent,1.0
613,1508,2026-07-07,Present,0.0
614,1508,2026-07-06,Work From Home,0.0
615,1508,2026-07-03,Present,1.0
616,1508,2026-07-02,Leave,0.0
617,1508,2026-07-01,P,3.0
618,1508,2026-06-30,Present,3.0
619,1508,2026-06-29,Wfh,0.0
620,1508,2026-06-26,Leave,0.0
621,1508,2026-06-25,Present,0.0
622,1508,2026-06-24,Present,3.0
623,1508,2026-06-23,Leave,2.0
624,1508,2026-06-22,Present,0.0
625,1508,2026-06-19,Work From Home,1.0
626,1508,2026-06-18,Present,0.0
627,1508,2026-06-17,Leave,0.0
628,1508,2026-06-16,Present,2.0
629,1508,2026-06-15,Present,0.0
630,1508,2026-06-12,Present,3.0
631,1307,2026-07-10,Present,0.0
632,1307,2026-07-09,Work From Home,1.5
633,1307,2026-07-08,Present,0.0
634,1307,2026-07-07,Present,3.0
635,1307,2026-07-06,Present,0.0
636,1307,2026-07-03,Present,3.0
637,1307,2026-07-02,Work From Home,0.0
638,1307,2026-07-01,Present,0.0
639,1307,2026-06-30,Present,0.0
640,1307,2026-06-29,Present,0.0
641,1307,2026-06-26,Present,1.5
642,1307,2026-06-25,Present,1.0
643,1307,2026-06-24,Present,1.0
644,1307,2026-06-23,Present,2.0
645,1307,2026-06-22,Present,0.0
646,1307,2026-06-19,Present,3.0
647,1307,2026-06-18,Wfh,0.0
648,1307,2026-06-17,Work From Home,2.0
649,1307,2026-06-16,Present,0.0
650,1307,2026-06-15,Present,0.0
651,1307,2026-06-12,Present,0.0
652,1329,2026-07-10,Leave,0.0
653,1329,2026-07-09,Leave,2.0
654,1329,2026-07-08,Present,0.0
655,1329,2026-07-07,Present,2.0
656,1329,2026-07-06,Present,0.0
657,1329,2026-07-03,Present,0.0
658,1329,2026-07-02,Present,1.5
659,1329,2026-07-01,Work From Home,3.0
660,1329,2026-06-30,Work From Home,2.0
661,1329,2026-06-29,Present,3.0
662,1329,2026-06-26,Present,3.0
663,1329,2026-06-25,Present,1.5
664,1329,2026-06-24,Present,3.0
665,1329,2026-06-23,Absent,1.0
666,1329,2026-06-22,Present,3.0
667,1329,2026-06-19,Present,1.0
668,1329,2026-06-18,Present,1.5
669,1329,2026-06-17,Present,1.5
670,1329,2026-06-16,Present,2.0
671,1329,2026-06-15,A,1.0
672,1329,2026-06-12,Present,0.0
673,1724,2026-07-10,Present,2.0
674,1724,2026-07-09,Present,3.0
675,1724,2026-07-08,Absent,3.0
676,1724,2026-07-07,Present,0.0
677,1724,2026-07-06,Present,2.0
678,1724,2026-07-03,Present,1.5
679,1724,2026-07-02,Present,2.0
680,1724,2026-07-01,Present,2.0
681,1724,2026-06-30,Absent,1.0
682,1724,2026-06-29,Absent,1.5
683,1724,2026-06-26,Present,3.0
684,1724,2026-06-25,Work From Home,0.0
685,1724,2026-06-24,Present,0.0
686,1724,2026-06-23,Present,0.0
687,1724,2026-06-22,Present,1.5
688,1724,2026-06-19,Present,0.0
689,1724,2026-06-18,Present,1.5
690,1724,2026-06-17,Present,1.0
691,1724,2026-06-16,Present,2.0
692,1724,2026-06-15,Present,3.0
693,1724,2026-06-12,Present,2.0
694,1714,2026-07-10,Present,0.0
695,1714,2026-07-09,Present,0.0
696,1714,2026-07-08,Present,0.0
697,1714,2026-07-07,Present,0.0
698,1714,2026-07-06,Present,1.5
699,1714,2026-07-03,Present,1.0
700,1714,2026-07-02,Present,3.0
701,1714,2026-07-01,Present,1.5
702,1714,2026-06-30,Work From Home,2.0
703,1714,2026-06-29,Leave,3.0
704,1714,2026-06-26,Work From Home,1.0
705,1714,2026-06-25,Present,0.0
706,1714,2026-06-24,Wfh,0.0
707,1714,2026-06-23,Present,0.0
708,1714,2026-06-22,Absent,0.0
709,1714,2026-06-19,Present,1.0
710,1714,2026-06-18,Present,0.0
711,1714,2026-06-17,Wfh,0.0
712,1714,2026-06-16,Present,0.0
713,1714,2026-06-15,Present,0.0
714,1714,2026-06-12,Present,3.0
715,1848,2026-07-10,Present,1.0
716,1848,2026-07-09,Present,1.5
717,1848,2026-07-08,Present,0.0
718,1848,2026-07-07,Present,0.0
719,1848,2026-07-06,Present,1.0
